Topic,Count,Name,Representation,Representative_Docs
-1,1230,-1_machine_serger_sewing_use,"['machine', 'serger', 'sewing', 'use', 'thread', 'look', 'easy', 'singer', 'stitch', 'sew']","['lot sewing charity fun use look serg online find serger easy thread use come instruction easy follow', 'great serger price purchase different expensive serg return hour try work brother serger come great instructional cdrom sure serger', 'brother sewing machine easy thread']"
0,845,0_serger_sew_sewing_machine,"['serger', 'sew', 'sewing', 'machine', 'use', 'foot', 'brother', 'year', 'stitch', 'serge']","['serger', 'serger', 'serger']"
1,525,1_thread_easy_tension_threading,"['thread', 'easy', 'tension', 'threading', 'needle', 'color', 'machine', 'use', 'looper', 'break']","['easy thread', 'easy thread', 'thread']"
2,484,2_brother_machine_use_work,"['brother', 'machine', 'use', 'work', 'love', 'easy', 'great', 'good', 'time', 'project']","['love brother serg', 'brother d', 'love brother d easy learn work']"
3,372,3_review_price_box_purchase,"['review', 'price', 'box', 'purchase', 'product', 'buy', 'amazon', 'great', 'gift', 'shipping']","['amazon great price', 'great price good product', 'great product good price highly recommend']"
4,258,4_video_instruction_cd_dvd,"['video', 'instruction', 'cd', 'dvd', 'manual', 'helpful', 'watch', 'dvds', 'come', 'follow']","['come instruction manual dvds help', 'instruction cd book helpful', 'instruction video come helpful']"
5,143,5_love_happy_thank_think,"['love', 'happy', 'thank', 'think', 'awesome', 'wrong', 'far', 'good', 'oh', 'boy']","['love', 'love', 'love love love']"
6,104,6_serg_use_love_year,"['serg', 'use', 'love', 'year', 'purchase', 'recommend', 'great', 'buy', 'time', 'ago']","['use serg', 'serg', 'serg']"
7,53,7_quiet_noisy_loud_noise,"['quiet', 'noisy', 'loud', 'noise', 'motor', 'vibrate', 'machine', 'sound', 'fast', 'bit']","['motor quieter machine precision feel sound like high quality sewing machine serger notoriously noisy', 'bit noisy regular sewing machine stitch fast', 'machine quiet fast']"
8,17,8_repair_shop_warranty_cover,"['repair', 'shop', 'warranty', 'cover', 'hassle', 'fix', 'tell', 'near', 'offer', 'wrong']","['near certify repair shop hour away timing cover year warranty', 'reputable repair shop tell repair', 'repair shop look']"
